0,0,624.015,716.423,-1402.47,-365.43,37.2739,224.617
0,100,448.379,218.963,-1362.59,-388.59,36.6784,32.9181
0,101,427.795,190.321,-1359.38,-389.37,36.6012,39.876
0,102,431.127,497.456,-1377.02,-367.902,36.3704,294.501
1,0,623.451,705.645,-1401.95,-365.976,37.1906,224.248
1,100,448.079,221.114,-1362.69,-388.424,36.6828,32.9181
1,101,427.776,192.144,-1359.49,-389.243,36.6098,39.8606
1,102,430.464,497.084,-1376.98,-367.981,36.4339,267.139
2,0,622.931,694.839,-1401.42,-366.533,37.1064,223.91
2,100,447.774,223.296,-1362.8,-388.256,36.6873,32.9181
2,101,427.752,193.993,-1359.61,-389.114,36.6186,39.8456
2,102,429.865,496.542,-1376.94,-368.07,36.4943,241.094
3,0,622.449,684.53,-1400.9,-367.086,37.0349,223.582
3,100,447.472,225.465,-1362.91,-388.089,36.6918,32.9181
3,101,427.724,195.838,-1359.73,-388.985,36.6273,39.8301
3,102,429.521,495.743,-1376.88,-368.158,36.5306,223.745
4,0,621.985,674.051,-1400.36,-367.661,36.9653,223.279
4,100,447.161,227.681,-1363.02,-387.919,36.6964,32.9181
4,101,427.685,197.722,-1359.85,-388.852,36.6362,39.8139
4,102,429.29,494.866,-1376.83,-368.235,36.5507,218.779
5,0,621.574,663.979,-1399.85,-368.217,36.8955,223.033
5,100,446.868,229.852,-1363.13,-387.753,36.7003,32.9181
5,101,427.64,199.566,-1359.96,-388.723,36.6449,39.7992
5,102,429.15,493.722,-1376.76,-368.321,36.5612,218.955
6,0,621.186,653.976,-1399.33,-368.78,36.8278,222.828
6,100,446.626,232.051,-1363.23,-387.587,36.7002,32.9181
6,101,427.612,201.429,-1360.08,-388.593,36.6515,39.7886
6,102,429.085,492.102,-1376.66,-368.437,36.5661,219.237
7,0,620.808,644.287,-1398.82,-369.344,36.7724,222.675
7,100,446.388,234.286,-1363.34,-387.419,36.6996,32.9181
7,101,427.631,203.364,-1360.19,-388.46,36.6541,39.7773
7,102,429.067,490.151,-1376.55,-368.574,36.5675,219.539
8,0,620.457,634.632,-1398.3,-369.911,36.7156,222.515
8,100,446.148,236.501,-1363.45,-387.252,36.6992,32.9181
8,101,427.632,205.28,-1360.31,-388.328,36.657,39.7676
8,102,429.071,488.029,-1376.43,-368.721,36.5668,219.708
9,0,620.178,625.162,-1397.8,-370.473,36.658,222.232
9,100,445.907,238.704,-1363.56,-387.086,36.6989,32.9181
9,101,427.614,207.188,-1360.42,-388.195,36.6602,39.7617
9,102,429.087,485.753,-1376.3,-368.878,36.565,219.743
10,0,619.989,615.728,-1397.3,-371.041,36.5998,221.767
10,100,445.664,240.892,-1363.67,-386.921,36.6988,32.9181
10,101,427.587,209.083,-1360.53,-388.063,36.6637,39.7564
10,102,429.107,483.344,-1376.16,-369.043,36.5626,219.774
11,0,619.905,606.296,-1396.8,-371.619,36.5398,221.188
11,100,445.423,243.085,-1363.77,-386.756,36.6987,32.9181
11,101,427.55,210.985,-1360.64,-387.93,36.6673,39.7514
11,102,429.132,481.173,-1376.04,-369.192,36.5597,219.797
12,0,619.925,596.801,-1396.32,-372.205,36.4737,220.536
12,100,445.178,245.302,-1363.88,-386.589,36.6987,32.9181
12,101,427.51,212.885,-1360.75,-387.797,36.671,39.7472
12,102,429.153,479.05,-1375.92,-369.338,36.5571,219.813
13,0,620.03,587.374,-1395.83,-372.797,36.4081,219.858
13,100,444.933,247.512,-1363.99,-386.422,36.6987,32.9181
13,101,427.464,214.763,-1360.86,-387.665,36.6747,39.744
13,102,429.135,476.702,-1375.78,-369.5,36.5571,219.821
14,0,620.222,578.343,-1395.36,-373.391,36.359,219.042
14,100,444.69,249.707,-1364.1,-386.256,36.6987,32.9181
14,101,427.413,216.629,-1360.97,-387.533,36.6783,39.742
14,102,429.197,474.486,-1375.65,-369.651,36.5516,219.826
15,0,620.565,569.596,-1394.9,-374,36.3316,217.972
15,100,444.445,251.912,-1364.2,-386.09,36.6987,32.9181
15,101,427.358,218.508,-1361.08,-387.401,36.6821,39.7411
15,102,429.461,472.184,-1375.53,-369.8,36.5315,219.829
16,0,621.02,560.884,-1394.44,-374.612,36.301,217.063
16,100,444.2,254.126,-1364.31,-385.923,36.6987,32.9181
16,101,427.298,220.398,-1361.19,-387.268,36.6858,39.7406
16,102,429.682,469.928,-1375.41,-369.948,36.5145,219.832
17,0,621.545,552.164,-1394,-375.231,36.269,216.371
17,100,443.954,256.338,-1364.42,-385.756,36.6987,32.9181
17,101,427.235,222.287,-1361.3,-387.134,36.6896,39.741
17,102,429.816,467.684,-1375.28,-370.098,36.5037,219.835
18,0,622.088,543.817,-1393.55,-375.851,36.2636,215.872
18,100,443.709,258.538,-1364.53,-385.59,36.6987,32.9181
18,101,427.171,224.171,-1361.4,-387.001,36.6933,39.7422
18,102,429.734,465.51,-1375.15,-370.252,36.5085,219.837
19,0,622.655,535.719,-1393.12,-376.466,36.2714,215.519
19,100,443.467,260.715,-1364.63,-385.426,36.6987,32.9181
19,101,427.104,226.039,-1361.51,-386.869,36.697,39.7441
19,102,429.594,463.569,-1375.04,-370.391,36.5175,219.838
20,0,623.284,527.21,-1392.66,-377.11,36.2745,215.22
20,100,443.216,262.988,-1364.74,-385.254,36.6987,32.9181
