0,0,631.101,718.342
0,100,424.719,277.51
0,101,432.775,170.69
0,102,432.732,142.707
1,0,630.768,712.59
1,100,424.636,279.682
1,101,432.696,172.943
1,102,437.17,148.095
2,0,630.455,706.929
2,100,424.553,281.849
2,101,432.529,175.112
2,102,443.026,155.04
3,0,630.151,701.228
3,100,424.469,284.027
3,101,432.352,177.291
3,102,444.816,157.896
4,0,629.829,695.049
4,100,424.376,286.414
4,101,432.16,179.684
4,102,444.117,158.428
5,0,629.544,689.607
5,100,424.291,288.593
5,101,431.984,181.871
5,102,443.502,159.106
6,0,629.271,684.113
6,100,424.206,290.788
6,101,431.807,184.077
6,102,443.102,160.012
7,0,629.006,678.618
7,100,424.122,293.001
7,101,431.627,186.303
7,102,442.851,161.187
8,0,628.754,673.207
8,100,424.035,295.22
8,101,431.449,188.539
8,102,442.674,162.558
9,0,628.511,667.709
9,100,423.95,297.438
9,101,431.271,190.778
9,102,442.519,164.111
10,0,628.274,662.364
10,100,423.866,299.632
10,101,431.091,192.995
10,102,442.606,166.11
11,0,628.039,656.958
11,100,423.779,301.843
11,101,430.912,195.233
11,102,442.75,168.228
12,0,627.81,651.751
12,100,423.691,304.077
12,101,430.729,197.498
12,102,442.775,170.238
13,0,627.59,646.552
13,100,423.606,306.269
13,101,430.545,199.722
13,102,442.647,171.956
14,0,627.385,641.453
14,100,423.519,308.467
14,101,430.397,201.979
14,102,442.55,173.558
15,0,627.198,636.339
15,100,423.435,310.64
15,101,430.315,204.262
15,102,442.464,175.063
16,0,627.047,631.321
16,100,423.351,312.822
16,101,430.233,206.557
16,102,442.373,176.717
17,0,626.923,626.207
17,100,423.266,315.016
17,101,430.146,208.86
17,102,442.254,178.561
18,0,626.829,621.221
18,100,423.182,317.199
18,101,430.054,211.151
18,102,442.133,180.123
19,0,626.76,616.151
19,100,423.098,319.385
19,101,429.961,213.442
19,102,442.021,181.585
20,0,626.72,611.114
20,1,625.064,719.902
20,100,423.012,321.599
20,101,429.865,215.768
20,102,441.889,183.1
21,0,626.709,606.025
21,1,624.751,714.126
21,100,422.927,323.788
21,101,429.768,218.066
21,102,441.752,184.664
22,0,626.725,601.064
22,1,624.45,708.326
22,100,422.841,325.967
22,101,429.673,220.355
22,102,441.566,186.504
23,0,626.766,596.01
23,1,624.164,702.595
23,100,422.756,328.15
23,101,429.577,222.654
23,102,441.403,188.153
24,0,626.832,591.07
24,1,623.888,696.853
24,100,422.67,330.334
24,101,429.483,224.951
24,102,441.269,189.608
25,0,626.911,586.205
25,1,623.619,691.35
25,100,422.586,332.503
25,101,429.387,227.236
25,102,441.141,191.086
26,0,627.004,581.559
26,1,623.369,685.98
26,100,422.501,334.682
26,101,429.319,229.548
26,102,441.008,192.662
27,0,627.182,576.955
27,1,623.122,680.511
27,100,422.417,336.854
27,101,429.304,231.886
27,102,440.852,194.521
28,0,627.511,569.972
28,1,622.775,672.486
28,100,422.29,340.125
28,101,429.274,235.402
28,102,440.585,197.135
28,103,430.092,138.955
29,0,627.755,565.298
29,1,622.547,666.992
29,100,422.206,342.309
29,101,429.251,237.749
29,102,440.421,198.723
29,103,432.903,142.196
30,0,628.009,560.712
30,1,622.333,661.677
30,100,422.12,344.497
30,101,429.225,240.097
30,102,440.225,200.397
30,103,437.39,147.41
31,0,628.284,556.058
31,1,622.126,656.627
31,100,422.036,346.7
31,101,429.196,242.458
31,102,440.042,202.15
31,103,443.391,154.396
32,0,628.556,551.606
32,1,621.922,651.561
32,100,421.95,348.88
32,101,429.17,244.797
32,102,439.9,204.114
