0,0,704.993,717.394,-1406.8,-413.22,36.0706,302.063,9.35346
0,100,624.707,254.993,-1374.86,-383.991,36.7033
0,101,590.416,298.257,-1379.8,-383.414,36.7072
0,102,735.626,460.293,-1384.92,-402.376,36.6872
0,103,459.222,345.71,-1389.8,-375.552,36.6986
0,104,521.824,406.679,-1391.33,-383.301,36.701
0,105,792.766,277.177,-1368.3,-398.025,36.6936
0,106,838.719,530.312,-1385.18,-413.865,36.5757
0,107,433.46,248.754,-1383.76,-368.719,36.5511
0,108,466.141,575.962,-1407.02,-387.071,36.5817
0,109,487.609,179.433,-1375.81,-369.6,36.5567
1,0,705.059,704.718,-1405.8,-412.591,36.0732,302.083,9.36816
1,100,627.154,255.453,-1374.77,-384.201,36.7017
1,101,588.455,297.728,-1379.86,-383.238,36.7072
1,102,737.434,461.069,-1384.89,-402.554,36.6863
1,103,456.805,345.405,-1389.89,-375.351,36.6986
1,104,522.404,404.823,-1391.16,-383.257,36.701
1,105,795.148,276.943,-1368.15,-398.207,36.6758
1,106,837.166,528.967,-1385.15,-413.689,36.5696
1,107,433.415,250.929,-1383.93,-368.834,36.561
1,108,467.102,574.97,-1406.9,-387.098,36.5798
1,109,490.017,179.775,-1375.7,-369.765,36.5271
2,0,705.105,685.999,-1404.34,-411.676,36.0633,302.118,9.38798
2,100,630.702,256.117,-1374.65,-384.506,36.6996
2,101,585.581,297.173,-1379.96,-382.99,36.7073
2,102,740.313,462.331,-1384.84,-402.838,36.6844
2,103,452.882,344.911,-1390.05,-375.025,36.6986
2,104,523.116,402.547,-1390.96,-383.203,36.7012
2,105,798.392,276.716,-1367.93,-398.472,36.6309
2,106,834.874,527.072,-1385.12,-413.432,36.5611
2,107,433.309,253.698,-1384.14,-368.98,36.5757
2,108,468.751,573.273,-1406.69,-387.143,36.5769
2,109,493.302,180.05,-1375.55,-370.006,36.5057
2,110,418.147,199.439,-1380.84,-366.671,37.4742
3,0,705.098,673.203,-1403.34,-411.043,36.0588,302.216,9.39629
3,100,633.134,256.574,-1374.56,-384.715,36.6982
3,101,583.587,296.897,-1380.03,-382.823,36.7076
3,102,741.971,463.079,-1384.82,-403.001,36.6852
3,103,450.231,344.578,-1390.15,-374.804,36.6986
3,104,523.55,401.163,-1390.83,-383.17,36.7012
3,105,801.453,276.123,-1367.79,-398.653,36.6792
3,106,833.321,525.793,-1385.1,-413.256,36.5568
3,107,433.231,255.567,-1384.29,-369.076,36.5842
3,108,470.083,571.899,-1406.53,-387.18,36.5742
3,109,495.376,180.179,-1375.46,-370.165,36.4984
3,110,422.116,202.388,-1380.85,-366.687,37.2229
4,0,705.144,660.096,-1402.29,-410.373,36.0751,302.379,9.39798
4,100,635.702,257.057,-1374.47,-384.936,36.6967
4,101,581.472,296.632,-1380.12,-382.647,36.708
4,102,743.772,463.901,-1384.79,-403.179,36.6861
4,103,447.595,344.246,-1390.26,-374.585,36.6986
4,104,524.032,399.629,-1390.69,-383.134,36.7013
4,105,804.275,275.713,-1367.63,-398.845,36.691
4,106,831.748,524.442,-1385.08,-413.07,36.5552
4,107,433.125,257.584,-1384.44,-369.178,36.5937
4,108,471.277,570.668,-1406.38,-387.213,36.5714
4,109,497.453,180.141,-1375.35,-370.335,36.5054
4,110,428.689,207.627,-1380.88,-366.734,36.7883
5,0,705.174,647.639,-1401.29,-409.733,36.092,302.51,9.39177
5,100,638.146,257.514,-1374.39,-385.146,36.6954
5,101,579.454,296.363,-1380.19,-382.479,36.7084
5,102,745.597,464.753,-1384.77,-403.364,36.6825
5,103,445.029,343.922,-1390.36,-374.371,36.6986
5,104,524.585,397.871,-1390.53,-383.093,36.7014
5,105,806.859,275.378,-1367.48,-399.028,36.693
5,106,830.289,523.098,-1385.05,-412.895,36.553
5,107,433.024,259.767,-1384.61,-369.289,36.6033
5,108,472.305,569.607,-1406.25,-387.242,36.5693
5,109,499.406,180.049,-1375.25,-370.497,36.516
5,110,434.604,212.639,-1380.94,-366.81,36.3847
6,0,705.257,635.642,-1400.3,-409.102,36.1261,302.61,9.37265
6,100,640.558,257.968,-1374.3,-385.353,36.694
6,101,577.476,296.036,-1380.27,-382.311,36.7086
6,102,747.559,465.724,-1384.75,-403.566,36.6778
6,103,442.089,343.548,-1390.47,-374.126,36.6986
6,104,525.106,396.213,-1390.38,-383.054,36.7015
6,105,809.399,275.05,-1367.33,-399.208,36.6936
6,106,828.577,521.464,-1385.01,-412.714,36.5322
6,107,432.916,261.641,-1384.76,-369.385,36.6134
6,108,473.334,568.548,-1406.12,-387.27,36.5673
6,109,501.342,179.942,-1375.16,-370.656,36.5263
6,110,434.615,213.579,-1381.02,-366.899,36.4124
7,0,705.361,623.689,-1399.31,-408.471,36.1655,302.686,9.35915
7,2,755.826,718.352,-1404.3,-417.377,36.059,302.559,4.83673
7,100,642.973,258.422,-1374.22,-385.561,36.6927
7,101,575.512,295.616,-1380.33,-382.139,36.7088
7,102,749.207,466.54,-1384.73,-403.736,36.6736
7,103,439.447,343.214,-1390.58,-373.906,36.6986
7,104,525.556,394.778,-1390.25,-383.02,36.7016
7,105,811.937,274.728,-1367.18,-399.388,36.6938
7,106,826.944,519.8,-1384.97,-412.533,36.5137
7,107,432.828,263.411,-1384.9,-369.474,36.6219
7,108,474.553,567.291,-1405.97,-387.304,36.5651
7,109,503.286,179.821,-1375.05,-370.815,36.5368
7,110,434.003,214.255,-1381.1,-366.984,36.4782
8,0,705.452,611.525,-1398.32,-407.833,36.203,302.742,9.34867
8,2,755.855,711.863,-1403.79,-417.049,36.063,302.528,4.85089
8,100,645.413,258.883,-1374.13,-385.771,36.6914
8,101,573.544,295.14,-1380.39,-381.965,36.7088
8,102,750.834,467.369,-1384.71,-403.903,36.6717
8,103,437.032,342.909,-1390.67,-373.705,36.6986
8,104,525.982,393.425,-1390.13,-382.988,36.7016
8,105,814.5,274.401,-1367.03,-399.57,36.6937
8,106,825.453,518.292,-1384.93,-412.36,36.5026
8,107,432.745,265.245,-1385.04,-369.568,36.6303
8,108,475.846,565.958,-1405.81,-387.34,36.5624
8,109,505.258,179.685,-1374.95,-370.976,36.5473
8,110,433.602,215.315,-1381.21,-367.063,36.5169
9,0,705.507,599.177,-1397.32,-407.189,36.2375,302.79,9.34048
9,2,755.846,705.186,-1403.26,-416.718,36.0614,302.503,4.86384
9,100,647.868,259.347,-1374.05,-385.983,36.69
9,101,571.573,294.646,-1380.45,-381.789,36.7086
9,102,752.587,468.279,-1384.69,-404.084,36.6701
9,103,434.434,342.58,-1390.77,-373.489,36.6986
9,104,526.45,391.939,-1389.99,-382.953,36.7017
9,105,817.078,274.075,-1366.88,-399.754,36.6935
9,106,824.24,517.134,-1384.9,-412.184,36.5198
9,107,432.659,267.402,-1385.2,-369.677,36.6395
9,108,476.932,564.842,-1405.68,-387.37,36.5599
9,109,507.267,179.563,-1374.85,-371.138,36.556
9,110,433.432,216.729,-1381.32,-367.148,36.5364
10,0,705.482,586.56,-1396.33,-406.547,36.2547,302.846,9.34434
10,2,755.83,698.5,-1402.74,-416.387,36.0591,302.485,4.8731
10,100,650.315,259.809,-1373.96,-386.193,36.6887
10,101,569.611,294.151,-1380.51,-381.614,36.7084
10,102,754.64,469.378,-1384.68,-404.297,36.6682
10,103,431.563,342.218,-1390.89,-373.25,36.6986
10,104,527.016,390.147,-1389.83,-382.911,36.7018
10,105,819.648,273.75,-1366.73,-399.937,36.6933
10,106,823.153,516.105,-1384.87,-412.008,36.5481
10,107,432.59,269.522,-1385.37,-369.785,36.6478
10,108,477.934,563.807,-1405.55,-387.398,36.5578
10,109,509.276,179.436,-1374.74,-371.299,36.5644
10,110,433.41,218.37,-1381.45,-367.239,36.5455
11,0,705.436,573.737,-1395.32,-405.897,36.2699,302.893,9.35301
11,2,755.809,691.732,-1402.21,-416.052,36.0566,302.469,4.88014
11,100,652.789,260.276,-1373.88,-386.406,36.6873
11,101,567.627,293.656,-1380.57,-381.437,36.7082
11,102,756.516,470.411,-1384.66,-404.494,36.666
11,103,429.028,341.896,-1390.99,-373.039,36.6986
11,104,527.512,388.572,-1389.69,-382.874,36.7019
11,105,822.245,273.424,-1366.58,-400.122,36.693
11,106,821.89,514.956,-1384.84,-411.832,36.5639
11,107,432.593,271.433,-1385.51,-369.881,36.6509
11,108,478.967,562.746,-1405.42,-387.428,36.5579
11,109,511.31,179.304,-1374.64,-371.461,36.573
11,110,433.499,220.375,-1381.6,-367.347,36.5477
12,0,705.332,561.435,-1394.37,-405.28,36.2739,302.932,9.36264
12,2,755.793,685.333,-1401.71,-415.735,36.0547,302.464,4.88483
12,100,655.127,260.717,-1373.79,-386.608,36.686
12,101,565.743,293.207,-1380.63,-381.27,36.708
12,102,758.153,471.353,-1384.65,-404.668,36.6642
